[ClickObjectLog] [2021-12-01T18:49:16.0854544] Clicked object WorldObject{x=3096, y=3497, height=0, id=10060, type=0, face=3} option 1
[ClickObjectLog] [2021-12-01T18:49:30.6666311] Clicked object WorldObject{x=3158, y=12426, height=0, id=678, type=10, face=3} option 1
[ClickObjectLog] [2021-12-01T18:49:36.1459559] Clicked object WorldObject{x=3158, y=12426, height=0, id=678, type=10, face=3} option 1
[ClickObjectLog] [2021-12-01T18:50:00.9388845] Clicked object WorldObject{x=3158, y=12426, height=0, id=678, type=10, face=3} option 1
[ClickObjectLog] [2021-12-01T18:51:00.9030852] Clicked object WorldObject{x=3275, y=6050, height=0, id=32508, type=10, face=0} option 1
[ClickObjectLog] [2021-12-01T18:51:08.819949] Clicked object WorldObject{x=3275, y=6050, height=0, id=32508, type=10, face=0} option 1
[ClickObjectLog] [2021-12-01T18:51:11.8681541] Clicked object WorldObject{x=3275, y=6050, height=0, id=32508, type=10, face=0} option 1
[ClickObjectLog] [2021-12-01T18:51:20.3910333] Clicked object WorldObject{x=3275, y=6050, height=0, id=32508, type=10, face=0} option 1
[ClickObjectLog] [2021-12-01T18:51:22.2106563] Clicked object WorldObject{x=3275, y=6050, height=0, id=32508, type=10, face=0} option 1
[ClickObjectLog] [2021-12-01T18:51:22.2106563] Clicked object WorldObject{x=3275, y=6050, height=0, id=32508, type=10, face=0} option 1
[ClickObjectLog] [2021-12-01T18:51:22.2106563] Clicked object WorldObject{x=3275, y=6050, height=0, id=32508, type=10, face=0} option 1
[ClickObjectLog] [2021-12-01T18:51:22.8158941] Clicked object WorldObject{x=3275, y=6050, height=0, id=32508, type=10, face=0} option 1
[ClickObjectLog] [2021-12-01T18:51:22.8158941] Clicked object WorldObject{x=3275, y=6050, height=0, id=32508, type=10, face=0} option 1
[ClickObjectLog] [2021-12-01T18:51:22.8158941] Clicked object WorldObject{x=3275, y=6050, height=0, id=32508, type=10, face=0} option 1
[ClickObjectLog] [2021-12-01T18:51:22.8158941] Clicked object WorldObject{x=3275, y=6050, height=0, id=32508, type=10, face=0} option 1
[ClickObjectLog] [2021-12-01T18:51:23.4203736] Clicked object WorldObject{x=3275, y=6050, height=0, id=32508, type=10, face=0} option 1
[ClickObjectLog] [2021-12-01T18:51:23.4203736] Clicked object WorldObject{x=3275, y=6050, height=0, id=32508, type=10, face=0} option 1
[ClickObjectLog] [2021-12-01T18:51:24.0272765] Clicked object WorldObject{x=3275, y=6050, height=0, id=32508, type=10, face=0} option 1
[ClickObjectLog] [2021-12-01T18:51:24.0272765] Clicked object WorldObject{x=3275, y=6050, height=0, id=32508, type=10, face=0} option 1
[ClickObjectLog] [2021-12-01T18:51:24.0272765] Clicked object WorldObject{x=3275, y=6050, height=0, id=32508, type=10, face=0} option 1
[ClickObjectLog] [2021-12-01T18:51:24.0272765] Clicked object WorldObject{x=3275, y=6050, height=0, id=32508, type=10, face=0} option 1
[ClickObjectLog] [2021-12-01T18:51:24.6350141] Clicked object WorldObject{x=3275, y=6050, height=0, id=32508, type=10, face=0} option 1
